,leading_space_count,table_index,synonym_index,modifies_line,line,synonym_name,affix_type,affix
1142,5,22,0,-1,     RECORD               ADPS-CL-WORK-RCRD                        VER     1 D  SUFFIX -CL-WK,ADPS-CL-WORK-RCRD,SUFFIX,-CL-WK
1170,5,23,0,-1,     RECORD               ADPS-CNTRL-RCRD                          VER     1 D  PREFIX ADPS-CR-,ADPS-CNTRL-RCRD,PREFIX,ADPS-CR-
1311,5,24,0,-1,     RECORD               ADPS-DETAIL-COMMON-DATA                  VER     1 D  PREFIX ADPS-DCD-,ADPS-DETAIL-COMMON-DATA,PREFIX,ADPS-DCD-
1367,5,25,0,-1,     RECORD               ADPS-FV-REQUEST                          VER     1 D,ADPS-FV-REQUEST,,
1384,5,26,0,-1,     RECORD               ADPS-INQ-STAT-RCRD                       VER     1 D,ADPS-INQ-STAT-RCRD,,
1408,5,27,0,-1,     RECORD               ADPS-MESSAGE-REC                         VER     1 D  PREFIX ADPS-MR-,ADPS-MESSAGE-REC,PREFIX,ADPS-MR-
1466,5,28,0,-1,     RECORD               ADPS-MESSAGE-REC-1                       VER     1 D  SUFFIX -LN1,ADPS-MESSAGE-REC-1,SUFFIX,-LN1
1473,5,29,0,-1,     RECORD               ADPS-RECAP-REC                           VER     1 D  PREFIX ADPS-RR-,ADPS-RECAP-REC,PREFIX,ADPS-RR-
1519,5,30,0,-1,     RECORD               ADPS-RECAP-XTRA                          VER     1 D  PREFIX ADPS-RX-,ADPS-RECAP-XTRA,PREFIX,ADPS-RX-
1541,5,31,0,-1,     RECORD               ADPS-ST-SPECLZD-SRVCG-RCRD               VER     1 D  PREFIX ADPS-SSS-,ADPS-ST-SPECLZD-SRVCG-RCRD,PREFIX,ADPS-SSS-
1581,5,32,0,-1,     RECORD               ADPS-STAT                                VER     1 D,ADPS-STAT,,
1595,5,33,0,-1,     RECORD               ADPS-TRNSCTN-AUTHY-RCRD                  VER     1 D  PREFIX ADPS-TA-,ADPS-TRNSCTN-AUTHY-RCRD,PREFIX,ADPS-TA-
1606,5,34,0,-1,     RECORD               ADPS-UTLTY-WORK-RCRD                     VER     1 D,ADPS-UTLTY-WORK-RCRD,,
1613,5,35,0,-1,     RECORD               ADPT-1C1                                 VER     1 D,ADPT-1C1,,
1646,5,35,1,-1,     RECORD SYNONYM       ADPT-1CA                                 VER     1 D  PREFIX AD1C-A-,ADPT-1CA,PREFIX,AD1C-A-
1682,5,36,0,-1,     RECORD               ADPT-1C2                                 VER     1 D,ADPT-1C2,,
1715,5,36,1,-1,     RECORD SYNONYM       ADPT-1CB                                 VER     1 D  PREFIX AD1C-B-,ADPT-1CB,PREFIX,AD1C-B-
1752,5,37,0,-1,     RECORD               ADPT-4Q                                  VER     1 D,ADPT-4Q,,
1791,5,38,0,-1,     RECORD               ADPT-4R                                  VER     1 D,ADPT-4R,,
1826,5,38,1,-1,     RECORD SYNONYM       ADPT-4R1                                 VER     1 D,ADPT-4R1,,
1860,5,38,2,-1,     RECORD SYNONYM       ADPT-4R2                                 VER     1 D,ADPT-4R2,,
1894,5,38,3,-1,     RECORD SYNONYM       ADPT-4R3                                 VER     1 D,ADPT-4R3,,
1928,5,38,4,-1,     RECORD SYNONYM       ADPT-4R4                                 VER     1 D,ADPT-4R4,,
1966,5,39,0,-1,     RECORD               ADPT-4U                                  VER     1 D,ADPT-4U,,
1999,5,39,1,-1,     RECORD SYNONYM       ADPT-4U1                                 VER     1 D,ADPT-4U1,,
2031,5,39,2,-1,     RECORD SYNONYM       ADPT-4U2                                 VER     1 D,ADPT-4U2,,
2063,5,39,3,-1,     RECORD SYNONYM       ADPT-4U3                                 VER     1 D,ADPT-4U3,,
2101,5,40,0,-1,     RECORD               ADPTSB01                                 VER     1 D,ADPTSB01,,
2207,5,41,0,-1,     RECORD               ADPTSC01                                 VER     1 D,ADPTSC01,,
2246,5,42,0,-1,     RECORD               ADPTSC01-RCRD                            VER     1 D,ADPTSC01-RCRD,,
2282,5,43,0,-1,     RECORD               ADPTSC01-REC                             VER     1 D,ADPTSC01-REC,,
2319,5,44,0,-1,     RECORD               ADPTSD01                                 VER     1 D,ADPTSD01,,
2421,5,45,0,-1,     RECORD               ADPTSE01                                 VER     1 D,ADPTSE01,,
2465,5,46,0,-1,     RECORD               ADPTSE01-RCRD                            VER     1 D,ADPTSE01-RCRD,,
2510,5,47,0,-1,     RECORD               ADPTSF01                                 VER     1 D,ADPTSF01,,
2619,5,48,0,-1,     RECORD               ADPTSG01                                 VER     1 D,ADPTSG01,,
2676,5,49,0,-1,     RECORD               ADPTSG01-RCRD                            VER     1 D,ADPTSG01-RCRD,,
2731,5,50,0,-1,     RECORD               ADPTSH01                                 VER     1 D,ADPTSH01,,
2806,5,51,0,-1,     RECORD               ADPTSI01                                 VER     1 D,ADPTSI01,,
2842,5,52,0,-1,     RECORD               ADPTSL01                                 VER     1 D,ADPTSL01,,
2917,5,53,0,-1,     RECORD               ADPTSL01-RCRD                            VER     1 D,ADPTSL01-RCRD,,
2994,5,54,0,-1,     RECORD               ADPTSP01                                 VER     1 D,ADPTSP01,,
3014,5,55,0,-1,     RECORD               ADPTSQ01                                 VER     1 D,ADPTSQ01,,
3072,5,56,0,-1,     RECORD               ADPTSQ01-RCRD                            VER     1 D,ADPTSQ01-RCRD,,
3128,5,57,0,-1,     RECORD               ADPTSR01                                 VER     1 D,ADPTSR01,,
3167,5,58,0,-1,     RECORD               ADPTSR01-RCRD                            VER     1 D,ADPTSR01-RCRD,,
3206,5,59,0,-1,     RECORD               ADPTSU01                                 VER     1 D,ADPTSU01,,
3247,5,60,0,-1,     RECORD               ADPTSU01-REC                             VER     1 D,ADPTSU01-REC,,
3290,5,61,0,-1,     RECORD               ADPTSV01                                 VER     1 D,ADPTSV01,,
3322,5,62,0,-1,     RECORD               ADPTSV01-RCRD                            VER     1 D,ADPTSV01-RCRD,,
3355,5,63,0,-1,     RECORD               ADPTSW01                                 VER     1 D,ADPTSW01,,
3431,5,64,0,-1,     RECORD               ADPTSW01-RCRD                            VER     1 D,ADPTSW01-RCRD,,
3505,5,65,0,-1,     RECORD               ADPTS301                                 VER     1 D,ADPTS301,,
3528,5,66,0,-1,     RECORD               ADPTS301-RCRD                            VER     1 D,ADPTS301-RCRD,,
3552,5,67,0,-1,     RECORD               ADPTS601                                 VER     1 D,ADPTS601,,
3591,5,68,0,-1,     RECORD               ADPTS601-RCRD                            VER     1 D,ADPTS601-RCRD,,
3630,5,69,0,-1,     RECORD               ADPTS601-REC                             VER     1 D,ADPTS601-REC,,
3670,5,70,0,-1,     RECORD               ADPTS801                                 VER     1 D,ADPTS801,,
3696,5,71,0,-1,     RECORD               ADPT1E-02                                VER     1 D,ADPT1E-02,,
3719,5,72,0,-1,     RECORD               ADPT1F-16                                VER     1 D,ADPT1F-16,,
3748,5,73,0,-1,     RECORD               ADPT1F-26                                VER     1 D,ADPT1F-26,,
3776,5,74,0,-1,     RECORD               ADPT1G-05                                VER     1 D,ADPT1G-05,,
3807,5,75,0,-1,     RECORD               ADPT1G-12                                VER     1 D,ADPT1G-12,,
3826,5,76,0,-1,     RECORD               ADPT1G-22                                VER     1 D,ADPT1G-22,,
3845,5,77,0,-1,     RECORD               ADPT1G-32                                VER     1 D,ADPT1G-32,,
3863,5,78,0,-1,     RECORD               ADPT1I-02                                VER     1 D,ADPT1I-02,,
3887,5,79,0,-1,     RECORD               ADPT1J-12                                VER     1 D,ADPT1J-12,,
3917,5,80,0,-1,     RECORD               ADPT1J-22                                VER     1 D,ADPT1J-22,,
3944,5,81,0,-1,     RECORD               ADPT1K-02                                VER     1 D,ADPT1K-02,,
3970,5,82,0,-1,     RECORD               ADPT1O-12                                VER     1 D,ADPT1O-12,,
3989,5,83,0,-1,     RECORD               ADPT1O-22                                VER     1 D,ADPT1O-22,,
4008,5,84,0,-1,     RECORD               ADPT1O-32                                VER     1 D,ADPT1O-32,,
4028,5,85,0,-1,     RECORD               ADPT1O-33                                VER     1 D,ADPT1O-33,,
4054,5,86,0,-1,     RECORD               ADPT1P-02                                VER     1 D,ADPT1P-02,,
4072,5,87,0,-1,     RECORD               ADPT1R-02                                VER     1 D,ADPT1R-02,,
4090,5,88,0,-1,     RECORD               ADPT1V-02                                VER     1 D,ADPT1V-02,,
4109,5,89,0,-1,     RECORD               ADPT1Y-02                                VER     1 D,ADPT1Y-02,,
4129,5,90,0,-1,     RECORD               ADPT2A-A2                                VER     1 D,ADPT2A-A2,,
4161,5,91,0,-1,     RECORD               ADPT2A-02                                VER     1 D,ADPT2A-02,,
4194,5,92,0,-1,     RECORD               ADPT2A-32                                VER     1 D,ADPT2A-32,,
4221,5,93,0,-1,     RECORD               ADPT2C-02                                VER     1 D,ADPT2C-02,,
4256,5,94,0,-1,     RECORD               ADPT2F-02                                VER     1 D,ADPT2F-02,,
4298,5,95,0,-1,     RECORD               ADPT2R-02                                VER     1 D,ADPT2R-02,,
4324,5,96,0,-1,     RECORD               ADPT2X-02                                VER     1 D,ADPT2X-02,,
4354,5,97,0,-1,     RECORD               ADPT2Z-02                                VER     1 D,ADPT2Z-02,,
4384,5,98,0,-1,     RECORD               ADPT2Z-32                                VER     1 D,ADPT2Z-32,,
4413,5,99,0,-1,     RECORD               ADPT3B-02                                VER     1 D,ADPT3B-02,,
4439,5,100,0,-1,     RECORD               ADPT3F-02                                VER     1 D,ADPT3F-02,,
4470,5,101,0,-1,     RECORD               ADPT3F-03                                VER     1 D,ADPT3F-03,,
4488,5,102,0,-1,     RECORD               ADPT3F-13                                VER     1 D,ADPT3F-13,,
4509,5,103,0,-1,     RECORD               ADPT3F-43                                VER     1 D,ADPT3F-43,,
4531,5,104,0,-1,     RECORD               ADPT3F-53                                VER     1 D,ADPT3F-53,,
4553,5,105,0,-1,     RECORD               ADPT3F-63                                VER     1 D,ADPT3F-63,,
4574,5,106,0,-1,     RECORD               ADPT3G-02                                VER     1 D,ADPT3G-02,,
4604,5,107,0,-1,     RECORD               ADPT3K-22                                VER     1 D  SUFFIX -22,ADPT3K-22,SUFFIX,-22
4631,5,108,0,-1,     RECORD               ADPT3K-32                                VER     1 D  SUFFIX -32,ADPT3K-32,SUFFIX,-32
4658,5,109,0,-1,     RECORD               ADPT3M-02                                VER     1 D,ADPT3M-02,,
4680,5,110,0,-1,     RECORD               ADPT3N-02                                VER     1 D,ADPT3N-02,,
4701,5,111,0,-1,     RECORD               ADPT3P-02                                VER     1 D,ADPT3P-02,,
4732,5,112,0,-1,     RECORD               ADPT3Z-02                                VER     1 D,ADPT3Z-02,,
4760,5,113,0,-1,     RECORD               ADPT4E-02                                VER     1 D,ADPT4E-02,,
4799,5,114,0,-1,     RECORD               ADPT4E-15                                VER     1 D,ADPT4E-15,,
4828,5,115,0,-1,     RECORD               ADPT4F-02                                VER     1 D,ADPT4F-02,,
4844,5,116,0,-1,     RECORD               ADPT4G-02                                VER     1 D,ADPT4G-02,,
4875,5,117,0,-1,     RECORD               ADPT4G-13                                VER     1 D,ADPT4G-13,,
4892,5,118,0,-1,     RECORD               ADPT4G-23                                VER     1 D,ADPT4G-23,,
4909,5,119,0,-1,     RECORD               ADPT4G-33                                VER     1 D,ADPT4G-33,,
4927,5,120,0,-1,     RECORD               ADPT4J-02                                VER     1 D,ADPT4J-02,,
4944,5,121,0,-1,     RECORD               ADPT4M-02                                VER     1 D,ADPT4M-02,,
4972,5,122,0,-1,     RECORD               ADPT4N-02                                VER     1 D,ADPT4N-02,,
4991,5,123,0,-1,     RECORD               ADPT4P-02                                VER     1 D,ADPT4P-02,,
5013,5,124,0,-1,     RECORD               ADPT4Q-A                                 VER     1 D,ADPT4Q-A,,
5048,5,124,1,-1,     RECORD SYNONYM       ADPT-4Q01                                VER     1 D  PREFIX AD4Q-01-,ADPT-4Q01,PREFIX,AD4Q-01-
5088,5,125,0,-1,     RECORD               ADPT4Q-B                                 VER     1 D,ADPT4Q-B,,
5123,5,125,1,-1,     RECORD SYNONYM       ADPT-4Q02                                VER     1 D  PREFIX AD4Q-02-,ADPT-4Q02,PREFIX,AD4Q-02-
5163,5,126,0,-1,     RECORD               ADPT4Q-C                                 VER     1 D,ADPT4Q-C,,
5198,5,126,1,-1,     RECORD SYNONYM       ADPT-4Q03                                VER     1 D  PREFIX AD4Q-03-,ADPT-4Q03,PREFIX,AD4Q-03-
5238,5,127,0,-1,     RECORD               ADPT4Q-D                                 VER     1 D,ADPT4Q-D,,
5273,5,127,1,-1,     RECORD SYNONYM       ADPT-4Q04                                VER     1 D  PREFIX AD4Q-04-,ADPT-4Q04,PREFIX,AD4Q-04-
5313,5,128,0,-1,     RECORD               ADPT4Q-E                                 VER     1 D,ADPT4Q-E,,
5348,5,128,1,-1,     RECORD SYNONYM       ADPT-4Q05                                VER     1 D  PREFIX AD4Q-05-,ADPT-4Q05,PREFIX,AD4Q-05-
5388,5,129,0,-1,     RECORD               ADPT4Q-F                                 VER     1 D,ADPT4Q-F,,
5423,5,129,1,-1,     RECORD SYNONYM       ADPT-4Q06                                VER     1 D  PREFIX AD4Q-06-,ADPT-4Q06,PREFIX,AD4Q-06-
5463,5,130,0,-1,     RECORD               ADPT4Q-G                                 VER     1 D,ADPT4Q-G,,
5498,5,130,1,-1,     RECORD SYNONYM       ADPT-4Q07                                VER     1 D  PREFIX AD4Q-07-,ADPT-4Q07,PREFIX,AD4Q-07-
5538,5,131,0,-1,     RECORD               ADPT4Q-H                                 VER     1 D,ADPT4Q-H,,
5573,5,131,1,-1,     RECORD SYNONYM       ADPT-4Q08                                VER     1 D  PREFIX AD4Q-08-,ADPT-4Q08,PREFIX,AD4Q-08-
5613,5,132,0,-1,     RECORD               ADPT4Q-I                                 VER     1 D,ADPT4Q-I,,
5648,5,132,1,-1,     RECORD SYNONYM       ADPT-4Q09                                VER     1 D  PREFIX AD4Q-09-,ADPT-4Q09,PREFIX,AD4Q-09-
5688,5,133,0,-1,     RECORD               ADPT4Q-J                                 VER     1 D,ADPT4Q-J,,
5723,5,133,1,-1,     RECORD SYNONYM       ADPT-4Q10                                VER     1 D  PREFIX AD4Q-10-,ADPT-4Q10,PREFIX,AD4Q-10-
5763,5,134,0,-1,     RECORD               ADPT4Q-K                                 VER     1 D,ADPT4Q-K,,
5798,5,134,1,-1,     RECORD SYNONYM       ADPT-4Q11                                VER     1 D  PREFIX AD4Q-11-,ADPT-4Q11,PREFIX,AD4Q-11-
5838,5,135,0,-1,     RECORD               ADPT4Q-L                                 VER     1 D,ADPT4Q-L,,
5873,5,135,1,-1,     RECORD SYNONYM       ADPT-4Q12                                VER     1 D  PREFIX AD4Q-12-,ADPT-4Q12,PREFIX,AD4Q-12-
5913,5,136,0,-1,     RECORD               ADPT4Q-M                                 VER     1 D,ADPT4Q-M,,
5948,5,136,1,-1,     RECORD SYNONYM       ADPT-4Q13                                VER     1 D  PREFIX AD4Q-13-,ADPT-4Q13,PREFIX,AD4Q-13-
5988,5,137,0,-1,     RECORD               ADPT4Q-N                                 VER     1 D,ADPT4Q-N,,
6023,5,137,1,-1,     RECORD SYNONYM       ADPT-4Q14                                VER     1 D  PREFIX AD4Q-14-,ADPT-4Q14,PREFIX,AD4Q-14-
6063,5,138,0,-1,     RECORD               ADPT4Q-O                                 VER     1 D,ADPT4Q-O,,
6098,5,138,1,-1,     RECORD SYNONYM       ADPT-4Q15                                VER     1 D  PREFIX AD4Q-15-,ADPT-4Q15,PREFIX,AD4Q-15-
6138,5,139,0,-1,     RECORD               ADPT4Q-P                                 VER     1 D,ADPT4Q-P,,
6173,5,139,1,-1,     RECORD SYNONYM       ADPT-4Q16                                VER     1 D  PREFIX AD4Q-16-,ADPT-4Q16,PREFIX,AD4Q-16-
6213,5,140,0,-1,     RECORD               ADPT4Q-Q                                 VER     1 D,ADPT4Q-Q,,
6248,5,140,1,-1,     RECORD SYNONYM       ADPT-4Q17                                VER     1 D  PREFIX AD4Q-17-,ADPT-4Q17,PREFIX,AD4Q-17-
6288,5,141,0,-1,     RECORD               ADPT4Q-R                                 VER     1 D,ADPT4Q-R,,
6323,5,141,1,-1,     RECORD SYNONYM       ADPT-4Q18                                VER     1 D  PREFIX AD4Q-18-,ADPT-4Q18,PREFIX,AD4Q-18-
6363,5,142,0,-1,     RECORD               ADPT4Q-S                                 VER     1 D,ADPT4Q-S,,
6398,5,142,1,-1,     RECORD SYNONYM       ADPT-4Q19                                VER     1 D  PREFIX AD4Q-19-,ADPT-4Q19,PREFIX,AD4Q-19-
6438,5,143,0,-1,     RECORD               ADPT4Q-T                                 VER     1 D,ADPT4Q-T,,
6473,5,143,1,-1,     RECORD SYNONYM       ADPT-4Q20                                VER     1 D  PREFIX AD4Q-20-,ADPT-4Q20,PREFIX,AD4Q-20-
6513,5,144,0,-1,     RECORD               ADPT4Q-U                                 VER     1 D,ADPT4Q-U,,
6548,5,144,1,-1,     RECORD SYNONYM       ADPT-4Q21                                VER     1 D  PREFIX AD4Q-21-,ADPT-4Q21,PREFIX,AD4Q-21-
6588,5,145,0,-1,     RECORD               ADPT4Q-V                                 VER     1 D,ADPT4Q-V,,
6623,5,145,1,-1,     RECORD SYNONYM       ADPT-4Q22                                VER     1 D  PREFIX AD4Q-22-,ADPT-4Q22,PREFIX,AD4Q-22-
6663,5,146,0,-1,     RECORD               ADPT4Q-W                                 VER     1 D,ADPT4Q-W,,
6698,5,146,1,-1,     RECORD SYNONYM       ADPT-4Q23                                VER     1 D  PREFIX AD4Q-23-,ADPT-4Q23,PREFIX,AD4Q-23-
6738,5,147,0,-1,     RECORD               ADPT4Q-X                                 VER     1 D,ADPT4Q-X,,
6773,5,147,1,-1,     RECORD SYNONYM       ADPT-4Q24                                VER     1 D  PREFIX AD4Q-24-,ADPT-4Q24,PREFIX,AD4Q-24-
6813,5,148,0,-1,     RECORD               ADPT4Q-Y                                 VER     1 D,ADPT4Q-Y,,
6848,5,148,1,-1,     RECORD SYNONYM       ADPT-4Q25                                VER     1 D  PREFIX AD4Q-25-,ADPT-4Q25,PREFIX,AD4Q-25-
6889,5,149,0,-1,     RECORD               ADPT4Q-Z                                 VER     1 D,ADPT4Q-Z,,
6924,5,149,1,-1,     RECORD SYNONYM       ADPT-4Q26                                VER     1 D  PREFIX AD4Q-26-,ADPT-4Q26,PREFIX,AD4Q-26-
6964,5,150,0,-1,     RECORD               ADPT4Q-02                                VER     1 D,ADPT4Q-02,,
6986,5,151,0,-1,     RECORD               ADPT4R-A                                 VER     1 D,ADPT4R-A,,
7020,5,151,1,-1,     RECORD SYNONYM       ADPT-4RA                                 VER     1 D  PREFIX AD4R-A-,ADPT-4RA,PREFIX,AD4R-A-
7059,5,152,0,-1,     RECORD               ADPT4R-B                                 VER     1 D,ADPT4R-B,,
7093,5,152,1,-1,     RECORD SYNONYM       ADPT-4RB                                 VER     1 D  PREFIX AD4R-B-,ADPT-4RB,PREFIX,AD4R-B-
7132,5,153,0,-1,     RECORD               ADPT4R-C                                 VER     1 D,ADPT4R-C,,
7166,5,153,1,-1,     RECORD SYNONYM       ADPT-4RC                                 VER     1 D  PREFIX AD4R-C-,ADPT-4RC,PREFIX,AD4R-C-
7205,5,154,0,-1,     RECORD               ADPT4R-D                                 VER     1 D,ADPT4R-D,,
7239,5,154,1,-1,     RECORD SYNONYM       ADPT-4RD                                 VER     1 D  PREFIX AD4R-D-,ADPT-4RD,PREFIX,AD4R-D-
7279,5,155,0,-1,     RECORD               ADPT4S-02                                VER     1 D,ADPT4S-02,,
7311,5,156,0,-1,     RECORD               ADPT4U-A                                 VER     1 D,ADPT4U-A,,
7343,5,156,1,-1,     RECORD SYNONYM       ADPT-4UA                                 VER     1 D  PREFIX AD4U-A-,ADPT-4UA,PREFIX,AD4U-A-
7381,5,157,0,-1,     RECORD               ADPT4U-B                                 VER     1 D,ADPT4U-B,,
7413,5,157,1,-1,     RECORD SYNONYM       ADPT-4UB                                 VER     1 D  PREFIX AD4U-B-,ADPT-4UB,PREFIX,AD4U-B-
7451,5,158,0,-1,     RECORD               ADPT4U-C                                 VER     1 D,ADPT4U-C,,
7483,5,158,1,-1,     RECORD SYNONYM       ADPT-4UC                                 VER     1 D  PREFIX AD4U-C-,ADPT-4UC,PREFIX,AD4U-C-
7520,5,159,0,-1,     RECORD               ADPT4U-06                                VER     1 D,ADPT4U-06,,
7552,5,160,0,-1,     RECORD               ADPT4U-07                                VER     1 D,ADPT4U-07,,
7590,5,161,0,-1,     RECORD               ADPT4U-13                                VER     1 D,ADPT4U-13,,
7613,5,162,0,-1,     RECORD               ADPT4U-16                                VER     1 D,ADPT4U-16,,
7640,5,163,0,-1,     RECORD               ADPT4U-23                                VER     1 D,ADPT4U-23,,
7659,5,164,0,-1,     RECORD               ADPT4U-26                                VER     1 D,ADPT4U-26,,
7685,5,165,0,-1,     RECORD               ADPT4U-33                                VER     1 D,ADPT4U-33,,
7706,5,166,0,-1,     RECORD               ADPT4W-02                                VER     1 D,ADPT4W-02,,
7731,5,167,0,-1,     RECORD               ADPT5C-02                                VER     1 D,ADPT5C-02,,
7751,5,168,0,-1,     RECORD               ADPT6C-02                                VER     1 D,ADPT6C-02,,
7774,5,169,0,-1,     RECORD               ADPT6D-13                                VER     1 D,ADPT6D-13,,
7798,5,170,0,-1,     RECORD               ADPT6D-23                                VER     1 D,ADPT6D-23,,
7822,5,171,0,-1,     RECORD               ADPT6D-33                                VER     1 D,ADPT6D-33,,
7848,5,172,0,-1,     RECORD               ADPT6D13                                 VER     1 D,ADPT6D13,,
7868,5,173,0,-1,     RECORD               ADPT6D23                                 VER     1 D,ADPT6D23,,
7888,5,174,0,-1,     RECORD               ADPT6D33                                 VER     1 D,ADPT6D33,,
7908,5,175,0,-1,     RECORD               ADPT6F-06                                VER     1 D,ADPT6F-06,,
7926,5,176,0,-1,     RECORD               ADPT6I-02                                VER     1 D,ADPT6I-02,,
7950,5,177,0,-1,     RECORD               ADPT6J-02                                VER     1 D,ADPT6J-02,,
7981,5,178,0,-1,     RECORD               ADPT6Q-02                                VER     1 D,ADPT6Q-02,,
8004,5,179,0,-1,     RECORD               ADPT6S-02                                VER     1 D,ADPT6S-02,,
8027,5,180,0,-1,     RECORD               ADPT6T-02                                VER     1 D,ADPT6T-02,,
8057,5,181,0,-1,     RECORD               ADPT7A02                                 VER     1 D,ADPT7A02,,
8081,5,182,0,-1,     RECORD               ADPT7A13                                 VER     1 D,ADPT7A13,,
8098,5,183,0,-1,     RECORD               ADPT7A23                                 VER     1 D,ADPT7A23,,
8115,5,184,0,-1,     RECORD               ADPT7A33                                 VER     1 D,ADPT7A33,,
8132,5,185,0,-1,     RECORD               ADPT7B-02                                VER     1 D,ADPT7B-02,,
8161,5,186,0,-1,     RECORD               ADPT7H-02                                VER     1 D,ADPT7H-02,,
8185,5,187,0,-1,     RECORD               ADPT7X-02                                VER     1 D,ADPT7X-02,,
8205,5,188,0,-1,     RECORD               ADPT8H-A2                                VER     1 D,ADPT8H-A2,,
8240,5,189,0,-1,     RECORD               ADPT8H-B2                                VER     1 D,ADPT8H-B2,,
8275,5,190,0,-1,     RECORD               ADPT8H-C2                                VER     1 D,ADPT8H-C2,,
8311,5,191,0,-1,     RECORD               ADPT8H-12                                VER     1 D,ADPT8H-12,,
8338,5,192,0,-1,     RECORD               ADPT8H-22                                VER     1 D,ADPT8H-22,,
8366,5,193,0,-1,     RECORD               ADPT8H-32                                VER     1 D,ADPT8H-32,,
8404,5,194,0,-1,     RECORD               ADPT8H-42                                VER     1 D,ADPT8H-42,,
8437,5,194,1,-1,     RECORD SYNONYM       ADPT8H42                                 VER     1 D  PREFIX AD8H-01-,ADPT8H42,PREFIX,AD8H-01-
8475,5,195,0,-1,     RECORD               ADPT8H-52                                VER     1 D,ADPT8H-52,,
