,leading_space_count,table_index,synonym_index,modifies_line,line,synonym_name,affix_type,affix
4,5,0,0,-1,     RECORD               ABSDOMN                                  VER     1 D  SUFFIX -4541,ABSDOMN,SUFFIX,-4541
21,5,1,0,-1,     RECORD               ACCRLINK                                 VER     1 D  PREFIX W019-,ACCRLINK,PREFIX,W019-
115,5,2,0,-1,     RECORD               ACCRLINK                                 VER     2 D  PREFIX W019-,ACCRLINK,PREFIX,W019-
175,5,3,0,-1,     RECORD               ACCT                                     VER     1 S  SUFFIX -821,ACCT,SUFFIX,-821
194,5,4,0,-1,     RECORD               ACCTG-CNTL                               VER     1 D  SUFFIX -MTH,ACCTG-CNTL,SUFFIX,-MTH
215,5,5,0,-1,     RECORD               ACH-RCRD                                 VER     1 D  PREFIX W138-,ACH-RCRD,PREFIX,W138-
233,5,6,0,-1,     RECORD               ACQD-PROP-MAP-RCRD                       VER     1 D  SUFFIX -W01,ACQD-PROP-MAP-RCRD,SUFFIX,-W01
271,5,7,0,-1,     RECORD               ACQD-PROP-QUEUE-RCRD                     VER     1 D  SUFFIX -M01,ACQD-PROP-QUEUE-RCRD,SUFFIX,-M01
278,5,7,1,-1,     RECORD SYNONYM       ACQD-PROP-QUEUE-RCRD-WK                  VER     1 D  SUFFIX -WK,ACQD-PROP-QUEUE-RCRD-WK,SUFFIX,-WK
289,5,8,0,-1,     RECORD               ACQD-PROP-SALES-RCRD                     VER     1 D  PREFIX WK7-,ACQD-PROP-SALES-RCRD,PREFIX,WK7-
308,5,9,0,-1,     RECORD               ACQD-PROP-SOLD                           VER     1 D  SUFFIX -S,ACQD-PROP-SOLD,SUFFIX,-S
406,5,9,1,-1,     RECORD SYNONYM       ACQD-PROP-UNSOLD                         VER     1 D  SUFFIX -U,ACQD-PROP-UNSOLD,SUFFIX,-U
504,5,9,2,-1,     RECORD SYNONYM       W-ACQD-PROP                              VER     1 D  PREFIX W-,W-ACQD-PROP,PREFIX,W-
606,5,10,0,-1,     RECORD               ACQPHIST                                 VER     3 D  PREFIX D032-,ACQPHIST,PREFIX,D032-
648,5,11,0,-1,     RECORD               ACQPHIST                                 VER     4 S  PREFIX D032-,ACQPHIST,PREFIX,D032-
700,5,12,0,-1,     RECORD               ACQPRO-RCRD                              VER     1 D  SUFFIX -AP,ACQPRO-RCRD,SUFFIX,-AP
759,5,13,0,-1,     RECORD               ACQPROP                                  VER     3 D  PREFIX D021-,ACQPROP,PREFIX,D021-
801,5,14,0,-1,     RECORD               ACQPROP                                  VER     4 S  PREFIX D021-,ACQPROP,PREFIX,D021-
873,5,15,0,-1,     RECORD               ACTL-TRADE-CST-TRNSCTN-RCRD              VER     1 D  PREFIX W406-,ACTL-TRADE-CST-TRNSCTN-RCRD,PREFIX,W406-
951,5,16,0,-1,     RECORD               ADBS-WORK-RECORD                         VER     1 D,ADBS-WORK-RECORD,,
990,5,17,0,-1,     RECORD               ADD-SAVE-SYNTX-R                         VER     1 D  PREFIX W565-,ADD-SAVE-SYNTX-R,PREFIX,W565-
1002,5,18,0,-1,     RECORD               ADJMT-HIST-RCRD                          VER     1 D  SUFFIX -H704,ADJMT-HIST-RCRD,SUFFIX,-H704
1032,5,18,1,-1,     RECORD SYNONYM       ADJMT-HIST-SAVE                          VER     1 D  SUFFIX -S704,ADJMT-HIST-SAVE,SUFFIX,-S704
1062,5,18,2,-1,     RECORD SYNONYM       ADJMT-HIST-WK                            VER     1 D  SUFFIX -W,ADJMT-HIST-WK,SUFFIX,-W
1096,5,19,0,-1,     RECORD               ADM-ADJMT-AC-TRNSCTN-RCRD                VER     1 D  PREFIX X055-,ADM-ADJMT-AC-TRNSCTN-RCRD,PREFIX,X055-
1110,5,20,0,-1,     RECORD               ADM-ADJMT-TRNSCTN-RCRD                   VER     1 D  PREFIX X034-,ADM-ADJMT-TRNSCTN-RCRD,PREFIX,X034-
1124,5,21,0,-1,     RECORD               ADPS-AP-CNTRL-RCRD                       VER     1 D  PREFIX ADPS-AP-,ADPS-AP-CNTRL-RCRD,PREFIX,ADPS-AP-
